NAT_MARK,SCH_NM,PROV_NM,SUBM,Teacher_Gender,ACHIEVEMENTS1,MIDTERM1,FINAL1
0-60,0,0,0,1,28.0,17.0,45.0
0-60,0,0,0,1,27.0,14.0,41.5
0-60,0,0,0,1,27.0,13.0,27.5
0-60,0,0,0,1,26.0,15.0,44.0
0-60,0,0,0,1,25.0,14.0,31.5
80-90,0,0,0,1,30.0,20.0,50.0
70-80,0,0,0,1,30.0,20.0,48.5
60-70,0,0,0,1,28.0,16.0,44.0
60-70,0,0,0,1,30.0,19.0,45.0
0-60,0,0,0,1,26.0,14.0,35.0
0-60,0,0,0,1,28.0,12.0,40.0
0-60,0,0,0,1,26.0,14.0,37.5
0-60,0,0,0,1,30.0,19.0,45.5
0-60,0,0,0,1,28.0,17.0,45.0
0-60,0,0,0,1,27.0,16.0,42.5
0-60,0,0,0,1,27.0,18.0,36.0
0-60,0,0,0,1,28.0,20.0,45.0
70-80,0,0,0,1,30.0,19.0,48.0
0-60,0,0,0,1,25.0,15.0,44.5
0-60,0,0,0,1,27.0,16.0,38.0
0-60,0,0,0,1,26.0,15.0,32.5
0-60,0,0,0,1,25.0,12.0,40.5
70-80,0,0,0,1,28.0,16.0,46.5
0-60,0,0,0,1,28.0,16.0,35.5
0-60,0,0,0,1,27.0,18.0,46.0
0-60,0,0,0,1,28.0,16.0,35.5
60-70,0,0,0,1,30.0,18.0,47.5
0-60,0,0,0,1,25.0,15.0,40.0
0-60,0,0,0,1,25.0,7.0,29.0
60-70,0,0,0,1,30.0,19.0,49.0
0-60,0,0,0,1,24.0,12.0,38.0
0-60,0,0,0,1,23.0,10.0,37.5
70-80,0,0,0,1,30.0,18.0,49.0
0-60,0,0,0,1,26.0,15.0,33.0
0-60,0,0,0,1,26.0,13.0,38.0
0-60,0,0,0,1,25.0,14.0,48.0
0-60,0,0,0,1,28.0,14.0,40.0
0-60,0,0,0,1,28.0,14.0,42.0
0-60,0,0,0,1,23.0,10.0,43.0
0-60,0,0,0,1,27.0,12.0,32.0
0-60,0,0,0,1,26.0,17.0,44.0
0-60,0,0,0,1,28.0,17.0,41.5
0-60,0,0,0,1,30.0,18.0,40.0
0-60,0,0,0,1,28.0,16.0,43.0
0-60,0,0,0,1,30.0,17.0,41.5
60-70,0,0,0,1,30.0,20.0,48.0
60-70,0,0,0,1,29.0,18.0,44.5
0-60,0,0,0,1,25.0,13.0,31.0
60-70,0,0,0,1,30.0,20.0,49.5
0-60,0,0,0,1,28.0,15.0,37.0
60-70,0,0,0,1,27.0,15.0,45.0
60-70,0,0,0,1,27.0,14.0,43.5
0-60,0,0,0,1,27.0,15.0,35.0
0-60,0,0,0,1,27.0,16.0,40.0
0-60,0,0,0,1,30.0,19.0,47.0
60-70,0,0,0,1,30.0,17.0,40.5
0-60,0,0,0,1,30.0,19.0,44.5
60-70,0,0,0,1,28.0,16.0,43.5
0-60,0,0,0,1,28.0,15.0,40.0
60-70,0,0,0,1,30.0,17.0,42.0
0-60,0,0,0,1,29.0,15.0,26.5
0-60,0,0,0,1,28.0,16.0,37.5
0-60,0,0,0,1,28.0,17.0,44.5
0-60,0,0,0,1,28.0,16.0,44.5
60-70,0,0,0,1,30.0,17.0,50.0
0-60,0,0,0,1,28.0,18.0,46.5
0-60,0,0,0,1,30.0,18.0,46.5
60-70,0,0,0,1,30.0,20.0,50.0
0-60,0,0,0,1,29.0,16.0,42.5
60-70,0,0,0,1,28.0,17.0,43.0
0-60,0,0,0,1,26.0,12.0,33.5
0-60,0,0,0,1,29.0,19.0,42.0
60-70,0,0,0,1,27.0,16.0,38.0
60-70,0,0,0,1,30.0,14.0,40.5
0-60,0,0,0,1,27.0,13.0,36.5
0-60,0,0,0,1,28.0,13.0,25.0
0-60,3,2,0,1,26.0,6.0,5.0
0-60,3,2,0,1,29.0,18.0,26.0
0-60,3,2,0,1,25.0,10.0,18.0
0-60,3,2,0,1,25.0,12.0,36.0
0-60,3,2,0,1,30.0,20.0,49.0
0-60,3,2,0,1,30.0,20.0,49.0
0-60,3,2,0,1,26.0,12.0,22.0
0-60,3,2,0,1,27.0,15.0,38.0
0-60,3,2,0,1,30.0,20.0,49.0
0-60,3,2,0,1,26.0,12.0,27.0
0-60,3,2,0,1,21.0,8.0,19.0
0-60,3,2,0,1,28.0,16.0,36.0
0-60,3,2,0,1,27.0,16.0,31.0
0-60,3,2,0,1,28.0,18.0,43.0
0-60,3,2,0,1,30.0,20.0,44.0
0-60,3,2,0,1,24.0,16.0,42.0
0-60,3,2,0,1,28.0,18.0,34.0
0-60,3,2,0,1,25.0,12.0,29.0
0-60,3,2,0,1,30.0,20.0,44.0
0-60,3,2,0,1,30.0,19.0,43.0
60-70,3,2,0,1,30.0,20.0,50.0
0-60,3,2,0,1,30.0,16.0,39.0
0-60,3,2,0,1,30.0,20.0,44.0
0-60,3,2,0,1,25.0,17.0,45.0
0-60,3,2,0,1,28.0,14.0,42.0
0-60,3,2,0,1,21.0,15.0,24.0
0-60,3,2,0,1,29.0,19.0,32.0
60-70,3,2,0,1,29.0,19.0,48.0
0-60,3,2,0,1,28.0,20.0,34.0
0-60,3,2,0,1,28.0,16.0,44.0
0-60,3,2,0,1,27.0,12.0,21.0
0-60,3,2,0,1,28.0,16.0,29.0
0-60,3,2,0,1,30.0,20.0,37.0
0-60,3,2,0,1,29.0,18.0,43.0
0-60,3,2,0,1,30.0,19.0,43.0
0-60,3,2,0,1,27.0,17.0,47.0
0-60,3,2,0,1,27.0,12.0,21.0
0-60,3,2,0,1,27.0,17.0,39.0
0-60,3,2,0,1,27.0,12.0,21.0
0-60,3,2,0,1,26.0,9.0,26.0
0-60,3,2,0,1,30.0,20.0,44.0
0-60,3,2,0,1,26.0,14.0,25.0
0-60,3,2,0,1,29.0,18.0,19.0
60-70,3,2,0,1,30.0,20.0,44.0
0-60,3,2,0,1,28.0,17.0,28.0
0-60,3,2,0,1,26.0,12.0,42.0
0-60,3,2,0,1,27.0,16.0,30.0
0-60,3,2,0,1,28.0,16.0,31.0
0-60,3,2,0,1,26.0,12.0,22.0
0-60,3,2,0,1,28.0,18.0,35.0
60-70,3,2,0,1,30.0,20.0,46.0
0-60,3,2,0,1,27.0,10.0,23.0
0-60,3,2,0,1,28.0,14.0,38.0
0-60,3,2,0,1,27.0,17.0,43.0
0-60,3,2,0,1,29.0,14.0,29.0
0-60,3,2,0,1,29.0,20.0,37.0
0-60,3,2,0,1,30.0,20.0,43.0
0-60,3,2,0,1,28.0,17.0,45.0
0-60,3,2,0,1,27.0,18.0,25.0
0-60,3,2,0,1,28.0,18.0,38.0
0-60,3,2,0,1,27.0,15.0,27.0
0-60,3,2,0,1,28.0,18.0,34.0
0-60,3,2,0,1,30.0,20.0,30.0
0-60,3,2,0,1,29.0,18.0,35.0
0-60,3,2,0,1,28.0,16.0,31.0
0-60,3,2,0,1,27.0,16.0,42.0
0-60,3,2,0,1,26.0,14.0,35.0
0-60,3,2,0,1,30.0,20.0,46.0
0-60,3,2,0,1,23.0,12.0,26.0
0-60,3,2,0,1,27.0,15.0,38.0
0-60,3,2,0,1,30.0,20.0,30.0
0-60,3,2,0,1,30.0,19.0,37.0
0-60,3,2,0,1,28.0,16.0,36.0
60-70,3,2,0,1,29.0,18.0,50.0
60-70,3,2,0,1,30.0,20.0,48.0
0-60,3,2,0,1,28.0,10.0,25.0
0-60,3,2,0,1,30.0,20.0,50.0
0-60,3,2,0,1,30.0,20.0,48.0
0-60,3,2,0,1,30.0,17.0,33.0
0-60,3,2,0,1,30.0,20.0,47.0
0-60,3,2,0,1,30.0,20.0,50.0
0-60,3,2,0,1,27.0,16.0,25.0
0-60,3,2,0,1,30.0,20.0,49.0
0-60,3,2,0,1,25.0,12.0,12.0
0-60,3,2,0,1,21.0,3.0,8.0
0-60,3,2,0,1,28.0,18.0,34.0
0-60,3,2,0,1,27.0,16.0,40.0
0-60,3,2,0,1,24.0,12.0,31.0
0-60,3,2,0,1,29.0,18.0,41.0
0-60,3,2,0,1,27.0,17.0,36.0
0-60,3,2,0,1,30.0,20.0,44.0
0-60,3,2,0,1,28.0,9.0,29.0
0-60,3,2,0,1,24.0,13.0,39.0
0-60,3,2,0,1,30.0,19.0,43.0
0-60,3,2,0,1,24.0,13.0,38.0
0-60,3,2,0,1,24.0,12.0,27.0
0-60,3,2,0,1,28.0,15.0,28.0
0-60,3,2,0,1,30.0,20.0,46.0
0-60,3,2,0,1,29.0,14.0,41.0
0-60,3,2,0,1,29.0,16.0,39.0
0-60,3,2,0,1,24.0,9.0,27.0
60-70,3,2,0,1,30.0,20.0,45.0
0-60,3,2,0,1,24.0,12.0,24.0
0-60,3,2,0,1,26.0,10.0,24.0
0-60,3,2,0,1,25.0,12.0,35.0
0-60,3,2,0,1,28.0,17.0,35.0
0-60,3,2,0,1,26.0,15.0,26.0
0-60,3,2,0,1,29.0,16.0,35.0
0-60,3,2,0,1,28.0,20.0,32.0
0-60,3,2,0,1,29.0,20.0,48.0
0-60,3,2,0,1,26.0,15.0,42.0
0-60,3,2,0,1,27.0,17.0,16.0
0-60,3,2,0,1,27.0,16.0,37.0
0-60,3,2,0,1,29.0,20.0,31.0
0-60,3,2,0,1,27.0,7.0,26.0
0-60,3,2,0,1,28.0,10.0,22.0
0-60,3,2,0,1,30.0,19.0,41.0
0-60,3,2,0,1,28.0,18.0,43.0
0-60,3,2,0,1,30.0,20.0,36.0
0-60,3,2,0,1,29.0,19.0,36.0
0-60,3,2,0,1,28.0,16.0,38.0
0-60,3,2,0,1,24.0,14.0,44.0
0-60,3,2,0,1,30.0,19.0,43.0
0-60,3,2,0,1,30.0,20.0,50.0
0-60,3,2,0,1,29.0,19.0,45.0
0-60,3,2,0,1,28.0,17.0,28.0
0-60,3,2,0,1,22.0,8.0,15.0
0-60,3,2,0,1,27.0,17.0,36.0
0-60,3,2,0,1,29.0,18.0,44.0
0-60,3,2,0,1,29.0,19.0,45.0
0-60,3,2,0,1,27.0,14.0,33.0
0-60,3,2,0,1,26.0,15.0,33.0
0-60,3,2,0,1,30.0,20.0,46.0
0-60,3,2,0,1,28.0,9.0,16.0
0-60,3,2,0,1,23.0,12.0,28.0
0-60,3,2,0,1,25.0,12.0,30.0
0-60,3,2,0,1,27.0,18.0,35.0
60-70,3,2,0,1,30.0,20.0,50.0
0-60,3,2,0,1,25.0,4.0,6.0
0-60,3,2,0,1,27.0,17.0,40.0
0-60,3,2,0,1,30.0,20.0,36.0
0-60,3,2,0,1,29.0,19.0,35.0
0-60,3,2,0,1,28.0,18.0,35.0
0-60,3,2,0,1,24.0,10.0,17.0
0-60,3,2,0,1,26.0,14.0,32.0
0-60,3,2,0,1,29.0,17.0,44.0
0-60,3,2,0,1,29.0,17.0,47.0
0-60,3,2,0,1,26.0,14.0,31.0
0-60,3,2,0,1,24.0,14.0,25.0
0-60,3,2,0,1,29.0,20.0,42.0
0-60,3,2,0,1,23.0,12.0,35.0
0-60,3,2,0,1,26.0,13.0,30.0
0-60,3,2,0,1,24.0,15.0,35.0
0-60,3,2,0,1,30.0,20.0,44.0
0-60,3,2,0,1,29.0,18.0,41.0
0-60,3,2,0,1,28.0,12.0,35.0
0-60,3,2,0,1,27.0,18.0,35.0
0-60,3,2,0,1,26.0,12.0,36.0
0-60,3,2,0,1,29.0,15.0,36.0
0-60,3,2,0,1,28.0,18.0,45.0
0-60,3,2,0,1,26.0,15.0,43.0
0-60,3,2,0,1,24.0,8.0,28.0
0-60,3,2,0,1,25.0,8.0,17.0
0-60,3,2,0,1,30.0,20.0,35.0
0-60,3,2,0,1,27.0,10.0,27.0
0-60,3,2,0,1,24.0,17.0,14.0
0-60,3,2,0,1,26.0,14.0,30.0
0-60,3,2,0,1,29.0,18.0,42.0
0-60,3,2,0,1,27.0,16.0,42.0
0-60,3,2,0,1,28.0,18.0,35.0
0-60,3,2,0,1,25.0,12.0,23.0
0-60,3,2,0,1,30.0,20.0,44.0
0-60,3,2,0,1,29.0,15.0,30.0
0-60,3,2,0,1,26.0,15.0,32.0
0-60,3,2,0,1,25.0,17.0,18.0
0-60,3,2,0,1,28.0,17.0,35.0
0-60,3,2,0,1,27.0,15.0,30.0
0-60,3,2,0,1,30.0,17.0,30.0
0-60,3,2,0,1,30.0,19.0,41.0
0-60,3,2,0,1,29.0,18.0,36.0
0-60,3,2,0,1,30.0,20.0,41.0
0-60,3,2,0,1,26.0,14.0,30.0
0-60,3,2,0,1,29.0,19.0,32.0
0-60,3,2,0,1,29.0,19.0,42.0
0-60,3,2,0,1,28.0,17.0,41.0
0-60,3,2,0,1,28.0,12.0,33.0
0-60,3,2,0,1,27.0,15.0,32.0
0-60,3,2,0,1,28.0,17.0,35.0
0-60,3,2,0,1,30.0,17.0,35.0
0-60,3,2,0,1,27.0,15.0,38.0
60-70,3,2,0,1,30.0,20.0,49.0
0-60,3,2,0,1,29.0,17.0,35.0
0-60,3,2,0,1,28.0,16.0,38.0
0-60,3,2,0,1,27.0,17.0,40.0
0-60,3,2,0,1,29.0,18.0,41.0
0-60,3,2,0,1,30.0,20.0,38.0
0-60,3,2,0,1,30.0,19.0,43.0
0-60,3,2,0,1,29.0,17.0,38.0
0-60,3,2,0,1,24.0,12.0,29.0
0-60,3,2,0,1,29.0,19.0,45.0
0-60,3,2,0,1,30.0,19.0,45.0
0-60,3,2,0,1,26.0,14.0,32.0
0-60,3,2,0,1,30.0,20.0,41.0
60-70,3,2,0,1,30.0,20.0,47.0
0-60,3,2,0,1,30.0,20.0,48.0
0-60,3,2,0,1,24.0,10.0,26.0
0-60,3,2,0,1,28.0,18.0,34.0
0-60,3,2,0,1,27.0,17.0,41.0
0-60,3,2,0,1,27.0,16.0,37.0
0-60,3,2,0,1,27.0,15.0,39.0
0-60,3,2,0,1,29.0,20.0,49.0
0-60,3,2,0,1,30.0,20.0,37.0
0-60,3,2,0,1,30.0,18.0,45.0
0-60,3,2,0,1,26.0,7.0,20.0
0-60,3,2,0,1,30.0,20.0,43.0
0-60,3,2,0,1,30.0,20.0,44.0
0-60,3,2,0,1,27.0,19.0,42.0
0-60,3,2,0,1,28.0,16.0,29.0
0-60,3,2,0,1,26.0,12.0,22.0
0-60,3,2,0,1,27.0,16.0,38.0
0-60,3,2,0,1,29.0,16.0,37.0
0-60,3,2,0,1,27.0,12.0,21.0
0-60,3,2,0,1,26.0,12.0,29.0
0-60,3,2,0,1,29.0,20.0,38.0
60-70,3,2,0,1,30.0,20.0,48.0
0-60,3,2,0,1,28.0,17.0,47.0
0-60,3,2,0,1,28.0,16.0,37.0
0-60,3,2,0,1,28.0,15.0,37.0
0-60,3,2,0,1,27.0,17.0,36.0
0-60,3,2,0,1,26.0,14.0,29.0
0-60,3,2,0,1,29.0,16.0,37.0
0-60,3,2,0,1,27.0,14.0,19.0
0-60,3,2,0,1,30.0,19.0,44.0
0-60,3,2,0,1,24.0,8.0,28.0
0-60,3,2,0,1,28.0,7.0,30.0
0-60,3,2,0,1,26.0,17.0,24.0
0-60,3,2,0,1,26.0,15.0,35.0
0-60,3,2,0,1,28.0,19.0,40.0
0-60,3,2,0,1,29.0,19.0,39.0
70-80,3,2,0,1,30.0,20.0,50.0
0-60,3,2,0,1,29.0,18.0,36.0
0-60,3,2,0,1,30.0,20.0,38.0
0-60,3,2,0,1,28.0,9.0,23.0
0-60,3,2,0,1,29.0,16.0,43.0
60-70,3,2,0,1,30.0,18.0,47.0
0-60,3,2,0,1,30.0,20.0,49.0
0-60,3,2,0,1,29.0,18.0,35.0
0-60,3,2,0,1,30.0,19.0,39.0
0-60,3,2,0,1,28.0,14.0,24.0
0-60,3,2,0,1,27.0,14.0,30.0
0-60,3,2,0,1,29.0,13.0,38.0
0-60,3,2,0,1,27.0,16.0,37.0
0-60,3,2,0,1,21.0,4.0,16.0
0-60,3,2,0,1,30.0,19.0,31.0
0-60,3,2,0,1,29.0,19.0,44.0
0-60,3,2,0,1,29.0,14.0,37.0
60-70,3,2,0,1,30.0,20.0,44.0
0-60,3,2,0,1,25.0,2.0,26.0
0-60,3,2,0,1,30.0,19.0,41.0
0-60,3,2,0,1,25.0,15.0,32.0
0-60,3,2,0,1,30.0,18.0,47.0
0-60,3,2,0,1,29.0,15.0,36.0
0-60,3,2,0,1,29.0,19.0,37.0
0-60,3,2,0,1,28.0,19.0,37.0
0-60,3,2,0,1,30.0,20.0,41.0
0-60,3,2,0,1,28.0,18.0,44.0
0-60,3,2,0,1,27.0,16.0,37.0
0-60,3,2,0,1,27.0,14.0,33.0
0-60,3,2,0,1,28.0,18.0,43.0
0-60,3,2,0,1,30.0,20.0,45.0
0-60,3,2,0,1,28.0,16.0,36.0
0-60,3,2,0,1,29.0,19.0,18.0
0-60,3,2,0,1,29.0,19.0,26.0
0-60,3,2,0,1,27.0,15.0,33.0
0-60,3,2,0,1,29.0,19.0,47.0
0-60,3,2,0,1,24.0,12.0,30.0
0-60,3,2,0,1,27.0,18.0,35.0
0-60,3,2,0,1,27.0,12.0,22.0
0-60,3,2,0,1,29.0,18.0,44.0
0-60,3,2,0,1,30.0,20.0,45.0
0-60,3,2,0,1,25.0,12.0,32.0
0-60,3,2,0,1,30.0,19.0,44.0
0-60,3,2,0,1,30.0,20.0,48.0
0-60,3,2,0,1,27.0,14.0,19.0
0-60,3,2,0,1,26.0,13.0,27.0
0-60,3,2,0,1,30.0,20.0,32.0
0-60,3,2,0,1,28.0,7.0,25.0
0-60,3,2,0,1,27.0,15.0,29.0
0-60,3,2,0,1,29.0,17.0,36.0
0-60,3,2,0,1,26.0,8.0,26.0
0-60,3,2,0,1,30.0,20.0,48.0
0-60,3,2,0,1,27.0,12.0,21.0
0-60,3,2,0,1,21.0,6.0,13.0
0-60,3,2,0,1,19.0,1.0,8.0
0-60,3,2,0,1,29.0,20.0,38.0
0-60,3,2,0,1,28.0,13.0,29.0
0-60,3,2,0,1,29.0,15.0,27.0
60-70,3,2,0,1,30.0,20.0,45.0
0-60,3,2,0,1,30.0,20.0,42.0
0-60,3,2,0,1,30.0,20.0,48.0
0-60,3,2,0,1,26.0,13.0,35.0
0-60,3,2,0,1,27.0,10.0,24.0
0-60,3,2,0,1,27.0,16.0,32.0
0-60,3,2,0,1,21.0,4.0,8.0
0-60,3,2,0,1,29.0,14.0,42.0
0-60,3,2,0,1,30.0,18.0,47.0
0-60,3,2,0,1,24.0,17.0,34.0
0-60,3,2,0,1,29.0,20.0,45.0
0-60,3,2,0,1,27.0,18.0,43.0
0-60,3,2,0,1,29.0,18.0,40.0
0-60,3,2,0,1,30.0,20.0,46.0
0-60,3,2,0,1,28.0,14.0,42.0
0-60,3,2,0,1,30.0,19.0,41.0
0-60,3,2,0,1,27.0,14.0,46.0
0-60,3,2,0,1,28.0,12.0,33.0
60-70,3,2,0,1,29.0,20.0,47.0
0-60,3,2,0,1,30.0,19.0,47.0
0-60,3,2,0,1,28.0,13.0,32.0
0-60,3,2,0,1,28.0,12.0,23.0
0-60,3,2,0,1,27.0,16.0,45.0
0-60,3,2,0,1,29.0,18.0,47.0
0-60,3,2,0,1,29.0,20.0,44.0
0-60,3,2,0,1,30.0,19.0,42.0
0-60,3,2,0,1,26.0,14.0,24.0
0-60,3,2,0,1,27.0,13.0,29.0
0-60,3,2,0,1,29.0,19.0,43.0
0-60,3,2,0,1,30.0,20.0,48.0
0-60,3,2,0,1,25.0,14.0,25.0
0-60,3,2,0,1,29.0,19.0,47.0
0-60,3,2,0,1,28.0,17.0,35.0
0-60,3,2,0,1,29.0,17.0,40.0
0-60,3,2,0,1,29.0,20.0,42.0
0-60,3,2,0,1,26.0,16.0,32.0
0-60,3,2,0,1,27.0,17.0,38.0
60-70,3,2,0,1,30.0,19.0,44.0
0-60,3,2,0,1,28.0,13.0,32.0
0-60,3,2,0,1,28.0,9.0,26.0
60-70,3,2,0,1,29.0,20.0,45.0
0-60,3,2,0,1,28.0,13.0,31.0
0-60,3,2,0,1,27.0,17.0,36.0
0-60,3,2,0,1,26.0,16.0,23.0
0-60,3,2,0,1,24.0,8.0,28.0
0-60,3,2,0,1,28.0,15.0,37.0
0-60,3,2,0,1,28.0,18.0,47.0
0-60,3,2,0,1,26.0,14.0,40.0
0-60,3,2,0,1,29.0,15.0,39.0
0-60,3,2,0,1,28.0,17.0,44.0
0-60,3,2,0,1,27.0,17.0,45.0
0-60,3,2,0,1,26.0,9.0,5.0
0-60,3,2,0,1,27.0,16.0,33.0
0-60,3,2,0,1,28.0,18.0,35.0
0-60,3,2,0,1,28.0,17.0,36.0
0-60,3,2,0,1,30.0,20.0,47.0
0-60,3,2,0,1,27.0,18.0,38.0
0-60,3,2,0,1,28.0,18.0,40.0
0-60,3,2,0,1,26.0,12.0,27.0
60-70,3,2,0,1,30.0,20.0,44.0
0-60,3,2,0,1,27.0,16.0,37.0
0-60,3,2,0,1,30.0,18.0,35.0
0-60,3,2,0,1,30.0,16.0,39.0
60-70,3,2,0,1,30.0,20.0,48.0
0-60,3,2,0,1,28.0,17.0,43.0
0-60,3,2,0,1,30.0,20.0,47.0
0-60,3,2,0,1,30.0,18.0,39.0
0-60,3,2,0,1,25.0,12.0,25.0
0-60,3,2,0,1,23.0,10.0,29.0
0-60,3,2,0,1,25.0,9.0,29.0
0-60,3,2,0,1,29.0,20.0,42.0
0-60,3,2,0,1,29.0,19.0,42.0
0-60,3,2,0,1,29.0,13.0,48.0
0-60,3,2,0,1,29.0,19.0,42.0
0-60,3,2,0,1,29.0,13.0,43.0
0-60,3,2,0,1,30.0,20.0,47.0
0-60,3,2,0,1,27.0,16.0,41.0
0-60,3,2,0,1,21.0,7.0,13.0
0-60,3,2,0,1,27.0,18.0,43.0
0-60,3,2,0,1,28.0,17.0,37.0
0-60,3,2,0,1,30.0,20.0,47.0
0-60,3,2,0,1,29.0,16.0,35.0
0-60,3,2,0,1,27.0,15.0,38.0
0-60,3,2,0,1,21.0,7.0,16.0
0-60,3,2,0,1,27.0,14.0,26.0
0-60,3,2,0,1,27.0,14.0,39.0
0-60,3,2,0,1,30.0,20.0,40.0
0-60,3,2,0,1,28.0,16.0,30.0
0-60,3,2,0,1,30.0,20.0,45.0
0-60,3,2,0,1,30.0,19.0,41.0
0-60,3,2,0,1,27.0,16.0,37.0
0-60,3,2,0,1,30.0,19.0,46.0
0-60,3,2,0,1,28.0,15.0,26.0
0-60,3,2,0,1,30.0,18.0,40.0
0-60,3,2,0,1,29.0,20.0,39.0
0-60,3,2,0,1,28.0,16.0,23.0
0-60,3,2,0,1,27.0,16.0,17.0
0-60,3,2,0,1,26.0,12.0,22.0
0-60,3,2,0,1,29.0,20.0,36.0
0-60,3,2,0,1,28.0,15.0,42.0
0-60,3,2,0,1,29.0,16.0,43.0
0-60,3,2,0,1,27.0,17.0,36.0
0-60,3,2,0,1,28.0,10.0,31.0
0-60,3,2,0,1,26.0,14.0,32.0
0-60,3,2,0,1,30.0,19.0,36.0
0-60,3,2,0,1,23.0,10.0,29.0
0-60,3,2,0,1,30.0,20.0,47.0
0-60,3,2,0,1,23.0,10.0,27.0
0-60,3,2,0,1,29.0,18.0,44.0
0-60,3,2,0,1,30.0,20.0,44.0
0-60,3,2,0,1,26.0,13.0,22.0
0-60,3,2,0,1,26.0,12.0,34.0
0-60,4,0,0,1,29.3,11.8,41.5
60-70,4,0,0,1,30.0,20.0,47.0
0-60,4,0,0,1,29.0,20.0,45.0
60-70,4,0,0,1,29.0,16.0,49.0
0-60,4,0,0,1,29.0,17.0,47.0
0-60,4,0,0,1,26.0,14.0,42.0
0-60,4,0,0,1,24.0,11.0,16.0
60-70,4,0,0,1,30.0,20.0,45.0
0-60,4,0,0,1,26.0,12.0,36.0
0-60,4,0,0,1,27.0,12.0,30.0
0-60,4,0,0,1,30.0,18.0,48.0
0-60,4,0,0,1,30.0,17.0,43.0
70-80,4,0,0,1,30.0,18.0,50.0
0-60,4,0,0,1,30.0,20.0,50.0
0-60,4,0,0,1,29.0,13.0,44.0
0-60,4,0,0,1,26.0,12.0,43.0
0-60,4,0,0,1,30.0,15.0,50.0
0-60,4,0,0,1,29.0,16.0,50.0
0-60,4,0,0,1,29.0,11.0,20.0
0-60,4,0,0,1,30.0,20.0,50.0
0-60,4,0,0,1,26.0,3.0,15.0
0-60,4,0,0,1,27.0,16.0,37.0
0-60,4,0,0,1,29.0,15.0,50.0
0-60,4,0,0,1,30.0,16.0,39.0
0-60,4,0,0,1,24.0,19.0,38.0
0-60,4,0,0,1,30.0,16.0,48.0
0-60,4,0,0,1,28.0,15.0,40.0
0-60,4,0,0,1,30.0,17.0,33.0
0-60,4,0,0,1,29.0,15.0,40.0
0-60,4,0,0,1,25.0,15.0,21.5
0-60,4,0,0,1,21.0,13.0,31.0
0-60,4,0,0,1,27.0,12.0,32.0
0-60,4,0,0,1,30.0,14.0,40.0
0-60,4,0,0,1,29.0,15.0,36.0
0-60,4,0,0,1,29.0,13.0,39.0
0-60,4,0,0,1,22.0,15.0,37.0
0-60,4,0,0,1,27.0,16.0,46.0
0-60,4,0,0,1,26.0,16.0,38.0
0-60,4,0,0,1,29.0,17.0,50.0
0-60,4,0,0,1,27.0,10.0,24.0
0-60,4,0,0,1,30.0,15.0,47.0
0-60,4,0,0,1,27.0,15.0,38.0
0-60,4,0,0,1,30.0,20.0,47.0
0-60,4,0,0,1,30.0,20.0,43.0
0-60,4,0,0,1,25.0,10.0,27.0
60-70,4,0,0,1,29.0,16.0,48.0
0-60,4,0,0,1,30.0,19.0,47.0
0-60,4,0,0,1,29.0,19.0,49.0
60-70,4,0,0,1,30.0,20.0,48.0
0-60,4,0,0,1,27.0,15.0,24.0
0-60,4,0,0,1,24.0,12.0,24.5
0-60,4,0,0,1,27.0,15.0,25.0
60-70,4,0,0,1,30.0,18.0,45.0
0-60,4,0,0,1,30.0,20.0,44.0
0-60,4,0,0,1,27.0,11.0,30.0
0-60,4,0,0,1,26.0,17.0,42.0
0-60,4,0,0,1,26.0,15.0,39.0
60-70,4,0,0,1,26.0,16.0,46.0
60-70,4,0,0,1,30.0,20.0,50.0
0-60,4,0,0,1,26.0,5.0,32.0
0-60,4,0,0,1,29.0,15.0,48.0
60-70,4,0,0,1,30.0,18.0,46.0
0-60,4,0,0,1,25.0,12.0,34.5
0-60,4,0,0,1,25.0,17.0,48.0
0-60,4,0,0,1,28.0,16.0,22.0
0-60,4,0,0,1,29.0,19.0,48.0
0-60,4,0,0,1,28.0,15.0,46.0
0-60,4,0,0,1,28.0,18.0,34.0
0-60,4,0,0,1,30.0,20.0,50.0
0-60,4,0,0,1,29.0,12.0,50.0
0-60,4,0,0,1,30.0,20.0,50.0
0-60,4,0,0,1,27.0,15.0,25.0
0-60,4,0,0,1,28.0,12.0,26.0
0-60,4,0,0,1,27.0,17.0,32.0
0-60,4,0,0,1,29.0,18.0,46.0
60-70,4,0,0,1,30.0,20.0,46.0
0-60,4,0,0,1,27.0,15.0,40.0
0-60,4,0,0,1,30.0,18.0,50.0
0-60,4,0,0,1,29.0,20.0,46.0
0-60,4,0,0,1,24.0,10.0,28.0
0-60,4,0,0,1,28.0,20.0,45.0
0-60,4,0,0,1,30.0,17.0,49.0
60-70,4,0,0,1,30.0,20.0,49.0
0-60,4,0,0,1,29.0,20.0,50.0
0-60,4,0,0,1,29.0,15.0,50.0
0-60,4,0,0,1,24.0,6.0,21.0
0-60,4,0,0,1,30.0,17.0,45.0
0-60,4,0,0,1,26.0,14.0,43.0
0-60,4,0,0,1,27.0,10.0,28.0
0-60,4,0,0,1,30.0,12.0,38.0
70-80,4,0,0,1,30.0,20.0,50.0
0-60,4,0,0,1,27.0,13.0,30.0
0-60,4,0,0,1,27.0,12.0,28.0
0-60,4,0,0,1,28.0,10.0,22.0
0-60,4,0,0,1,27.0,17.0,40.0
